"Country","Year","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)"
"Afghanistan"," 2010","6 209","19.8"
"Albania"," 2010","408","12.7"
"Andorra"," 2010","3","3.5"
"Angola"," 2010","4 407","23.1"
"Argentina"," 2010","5 094","12.6"
"Armenia"," 2010","558","18.1"
"Australia"," 2010","1 363","6.1"
"Austria"," 2010","553","6.6"
"Azerbaijan"," 2010","1 202","13.1"
"Bahamas"," 2010","47","13.7"
"Bahrain"," 2010","132","10.5"
"Bangladesh"," 2010","17 289","11.6"
"Barbados"," 2010","20","7.3"
"Belarus"," 2010","1 384","14.4"
"Belgium"," 2010","869","8.1"
"Belize"," 2010","51","16.4"
"Benin"," 2010","2 119","23.9"
"Bhutan"," 2010","96","13.2"
"Bolivia (Plurinational State of)"," 2010","1 910","19.2"
"Bosnia and Herzegovina"," 2010","588","15.6"
"Botswana"," 2010","417","20.8"
"Brazil"," 2010","43 869","22.5"
"Brunei Darussalam"," 2010","27","6.8"
"Bulgaria"," 2010","776","10.4"
"Burkina Faso"," 2010","4 566","27.7"
"Burundi"," 2010","1 788","21.3"
"C̫te d'Ivoire"," 2010","4 121","20.9"
"Cabo Verde"," 2010","111","22.4"
"Cambodia"," 2010","2 431","17.2"
"Cameroon"," 2010","3 933","20.1"
"Canada"," 2010","2 296","6.8"
"Central African Republic"," 2010","644","14.6"
"Chad"," 2010","3 339","29.7"
"Chile"," 2010","2 098","12.3"
"China"," 2010","275 983","20.5"
"Colombia"," 2010","7 225","15.6"
"Comoros"," 2010","160","21.8"
"Congo"," 2010","692","17.1"
"Cook Islands"," 2010","2","9.9"
"Costa Rica"," 2010","592","12.7"
"Croatia"," 2010","456","10.4"
"Cuba"," 2010","872","7.8"
"Cyprus"," 2010","84","7.6"
"Czech Republic"," 2010","802","7.6"
"Democratic People's Republic of Korea"," 2010","2 614","10.7"
"Democratic Republic of the Congo"," 2010","13 764","20.9"
"Denmark"," 2010","258","4.7"
"Dominica"," 2010","8","11.8"
"Dominican Republic"," 2010","4 143","41.7"
"Ecuador"," 2010","3 911","27.0"
"Egypt"," 2010","10 729","13.2"
"El Salvador"," 2010","1 358","21.9"
"Equatorial Guinea"," 2010","80","11.4"
"Estonia"," 2010","87","6.5"
"Ethiopia"," 2010","14 606","17.6"
"Fiji"," 2010","54","6.3"
"Finland"," 2010","272","5.1"
"France"," 2010","3 992","6.4"
"Gabon"," 2010","338","22.5"
"Gambia"," 2010","325","18.8"
"Georgia"," 2010","685","15.7"
"Germany"," 2010","3 830","4.7"
"Ghana"," 2010","5 407","22.2"
"Greece"," 2010","1 385","12.2"
"Guatemala"," 2010","958","6.7"
"Guinea"," 2010","1 956","19.6"
"Guinea-Bissau"," 2010","472","31.2"
"Guyana"," 2010","210","27.8"
"Honduras"," 2010","1 425","18.8"
"Hungary"," 2010","908","9.1"
"Iceland"," 2010","9","2.8"
"India"," 2010","231 027","18.9"
"Indonesia"," 2010","42 434","17.7"
"Iran (Islamic Republic of)"," 2010","25 224","34.1"
"Iraq"," 2010","9 962","31.5"
"Ireland"," 2010","212","4.7"
"Israel"," 2010","352","4.7"
"Italy"," 2010","4 371","7.2"
"Jamaica"," 2010","319","11.6"
"Japan"," 2010","6 625","5.2"
"Jordan"," 2010","1 414","22.9"
"Kazakhstan"," 2010","3 514","21.9"
"Kenya"," 2010","8 484","20.9"
"Kiribati"," 2010","6","6.0"
"Kuwait"," 2010","452","16.5"
"Kyrgyzstan"," 2010","1 022","19.2"
"Lao People's Democratic Republic"," 2010","1 266","20.4"
"Latvia"," 2010","243","10.8"
"Lebanon"," 2010","942","22.3"
"Lesotho"," 2010","616","28.4"
"Liberia"," 2010","760","19.0"
"Lithuania"," 2010","369","11.1"
"Luxembourg"," 2010","32","6.3"
"Madagascar"," 2010","3 805","18.4"
"Malawi"," 2010","2 904","19.5"
"Malaysia"," 2010","7 085","25.0"
"Maldives"," 2010","6","1.9"
"Mali"," 2010","3 544","23.1"
"Malta"," 2010","16","3.8"
"Marshall Islands"," 2010","4","7.4"
"Mauritania"," 2010","970","28.0"
"Mauritius"," 2010","158","12.2"
"Mexico"," 2010","16 714","14.7"
"Micronesia (Federated States of)"," 2010","2","1.8"
"Mongolia"," 2010","491","17.8"
"Montenegro"," 2010","95","15.0"
"Morocco"," 2010","5 759","18.0"
"Mozambique"," 2010","4 315","18.5"
"Myanmar"," 2010","7 177","15.0"
"Namibia"," 2010","571","25.0"
"Nepal"," 2010","4 787","16.0"
"Netherlands"," 2010","640","3.9"
"New Zealand"," 2010","398","9.1"
"Nicaragua"," 2010","1 085","18.8"
"Niger"," 2010","3 673","23.7"
"Nigeria"," 2010","53 339","33.7"
"Niue"," 2010","1","68.3"
"Norway"," 2010","208","4.3"
"Oman"," 2010","845","30.4"
"Pakistan"," 2010","30 131","17.4"
"Palau"," 2010","3","14.7"
"Panama"," 2010","494","14.1"
"Papua New Guinea"," 2010","892","13.0"
"Paraguay"," 2010","1 383","21.4"
"Peru"," 2010","4 622","15.9"
"Philippines"," 2010","8 499","9.1"
"Poland"," 2010","4 509","11.8"
"Portugal"," 2010","1 257","11.8"
"Qatar"," 2010","247","14.0"
"Republic of Korea"," 2010","6 784","14.1"
"Republic of Moldova"," 2010","496","13.9"
"Romania"," 2010","2 377","11.1"
"Russian Federation"," 2010","26 567","18.6"
"Rwanda"," 2010","2 118","19.9"
"Saint Kitts and Nevis"," 2010","9","17.2"
"Saint Lucia"," 2010","26","14.9"
"Saint Vincent and the Grenadines"," 2010","5","4.6"
"Samoa"," 2010","30","16.4"
"San Marino"," 2010","0","0.0"
"Sao Tome and Principe"," 2010","34","20.6"
"Saudi Arabia"," 2010","6 800","24.8"
"Senegal"," 2010","2 421","19.5"
"Serbia"," 2010","813","8.3"
"Seychelles"," 2010","13","15.0"
"Sierra Leone"," 2010","1 323","22.6"
"Singapore"," 2010","259","5.1"
"Slovakia"," 2010","515","9.4"
"Slovenia"," 2010","146","7.2"
"Solomon Islands"," 2010","79","14.7"
"South Africa"," 2010","15 995","31.9"
"Spain"," 2010","2 478","5.4"
"Sri Lanka"," 2010","2 854","13.7"
"Sudan"," 2010","10 935","25.1"
"Suriname"," 2010","103","19.6"
"Swaziland"," 2010","277","23.4"
"Sweden"," 2010","278","3.0"
"Switzerland"," 2010","327","4.3"
"Syrian Arab Republic"," 2010","4 669","22.9"
"Tajikistan"," 2010","1 244","18.1"
"Thailand"," 2010","26 312","38.1"
"The former Yugoslav republic of Macedonia"," 2010","162","7.9"
"Timor-Leste"," 2010","219","19.5"
"Togo"," 2010","1 037","17.2"
"Tonga"," 2010","6","5.8"
"Trinidad and Tobago"," 2010","224","16.7"
"Tunisia"," 2010","1 974","18.8"
"Turkey"," 2010","8 758","12.0"
"Uganda"," 2010","9 655","28.9"
"Ukraine"," 2010","6 121","13.5"
"United Arab Emirates"," 2010","956","12.7"
"United Kingdom of Great Britain and Northern Ireland"," 2010","2 278","3.7"
"United Republic of Tanzania"," 2010","10 162","22.7"
"United States of America"," 2010","35 490","11.4"
"Uruguay"," 2010","723","21.5"
"Uzbekistan"," 2010","3 107","11.3"
"Vanuatu"," 2010","39","16.3"
"Venezuela (Bolivarian Republic of)"," 2010","10 791","37.2"
"Viet Nam"," 2010","21 651","24.7"
"Yemen"," 2010","5 698","23.7"
"Zambia"," 2010","3 117","23.8"
"Zimbabwe"," 2010","1 832","14.6"
